artist	album	s3_url
(Woody)	사막에서_꽃을_피우듯_우디_(Woody)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(Woody)-사막에서_꽃을_피우듯_우디_(Woody).jpg
(Woody)	어제보다_슬픈_오늘_우디_(Woody)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(Woody)-어제보다_슬픈_오늘_우디_(Woody).jpg
(Woody)	혹시_세상에_혼자_남겨진_것_같다면_우디_(Woody)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(Woody)-혹시_세상에_혼자_남겨진_것_같다면_우디_(Woody).jpg
(YOUNHA)	사건의_지평선_윤하_(YOUNHA)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(YOUNHA)-사건의_지평선_윤하_(YOUNHA).jpg
(YUJU)	"우연히_봄_로꼬,_유주_(YUJU)"	"https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(YUJU)-우연히_봄_로꼬,_유주_(YUJU).jpg"
(ZICO)	SPOT!_(feat._JENNIE)_지코_(ZICO)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(ZICO)-SPOT!_(feat._JENNIE)_지코_(ZICO).jpg
(데이식스)	Congratulations_DAY6_(데이식스)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(데이식스)-Congratulations_DAY6_(데이식스).jpg
(데이식스)	HAPPY_DAY6_(데이식스)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(데이식스)-HAPPY_DAY6_(데이식스).jpg
(데이식스)	Maybe_Tomorrow_DAY6_(데이식스)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(데이식스)-Maybe_Tomorrow_DAY6_(데이식스).jpg
(데이식스)	Welcome_to_the_Show_DAY6_(데이식스)	https://ai-vocal-training.s3.ap-northeast-2.amazonaws.com/album_covers/(데이식스)-Welcome_to_the_Show_DAY6_(데이식스).jpg
